,additional_information,street,agency_id,ages_served,borough,brief_description,building_floor_suite,city,free,genders_served,hours_friday,hours_monday,hours_saturday,hours_sunday,hours_thursday,hours_tuesday,hours_wednesday,intake,low_cost,medicaid,medicare,other_insurances,phone_number,required_documents,site_id,site_languages,site_name,sliding_fee,state,website,zip_code
11,,"40 Rector Street,",Urban Justice Center (SWOP),,Manhattan,,9th Floor,NEW YORK,False,,,,,,,,,,False,,,,,,495,,Urban Justice Center,,NY,,
15,,1139 Foam Place,AIDS Center of Queens County,,Queens,,,FAR ROCKAWAY,True,,,,,,,,,,False,,,,(718) 868-8645,,566,,AIDS Center of Queens County - Far Rockaway,,NY,http://www.acqc.org/,11691
16,,550 1st Avenue,New York University,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(646) 929-7870,,609,,NYU Langone Medical Center,,NY,,10016
17,,110-20 Jamaica Avenue,All Med Medical & Rehabilitation Centers,,Queens,,,RICHMOND HILL,False,,9:00AM - 2:00PM,9:00AM - 5:00PM,CLOSED,9:00AM - 2:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,,False,,,,718-850-4644,,466,,All Med Medical & Rehabilitation Centers - Jamaica Avenue,,NY,http://www.allmedhealth.com/,11418
19,,100 Park Avenue,Project Hospitality,,Staten Island,,,STATEN ISLAND,False,,,,,,,,,,False,,,,718-876-7716,,513,,Project Hospitality,,NY,,10304
20,,1363 Ogden Avenue,Muslim Women's Institute for Research and Development,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 960-2262,,391,,Muslim Women's Institute for Research and Development,,NY,,10452
21,,1000 10th Avenue Suite 2T,Mount Sinai Health System,18 and over.,Manhattan,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,NEW YORK,True,All,9:00am-4:30pm,9:00am-4:30pm,CLOSED,CLOSED,11:00am-6:30pm,9:00am-4:30pm,9:00am-4:30pmM,Walk-ins welcome,False,,,"Some insurances accepted, copay may be applied",(212) 523-6500,None,220,"English, Spanish and Telephone TranslationServices for all other languages",The Spencer Cox Center for Health - Samuels Clinic,,NY,,10019
22,,89-74 162nd Street,Safe Space,,Queens,,,JAMAICA,False,,,,,,,,,,False,,,,718-526-2400,,599,,Safe Space Executive HQ,,NY,,11432
23,,1650 Grand Concourse,Bronx - Lebanon Hospital Center,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 590-1800,,553,,Bronx - Lebanon Hospital Center,,NY,http://www.bronxcare.org/,10457
25,,64 West 35th Street,AIDS Service Center of NYC,,Manhattan,,3rd Floor,NEW YORK,False,,,,,,,,,,False,,,,(212) 645-0875,,324,,AIDS Service Center of NYC,,NY,http://www.ascnyc.org/,10001
26,,2475 St. Raymonds Avenue,Montefiore Medical Center,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,718-430-7300,,511,,Montefiore Westchester Square Campus,,NY,http://www.montefiore.org/westchester-square-campus,10461
27,,8900 Vanwyck Expressway,Jamaica Hospital Medical Center,13 and over.,Queens,Hospital Medical Center where you must first be seen by doctor to obtain testing services,,JAMAICA,False,All,9am-5pm,9am-5pm,9am-5pm,,9am-5pm,9am-5pm,9am-5pm,Appointment required,False,Yes,Yes,"Most insurances accepted, copay may be applied",718-206-6000,Photo ID,594,Language Bank - Offers over 50 languages,Jamaica Hospital Medical Center,Yes,NY,http://jamaicahospital.org/,11418
28,,779 Melrose Avenue,Morris Heights Health Center,,Bronx,,,BRONX,False,,9:30AM - 5:00PM,8:30AM - 5:00PM,9:00AM - 3:00PM,CLOSED,8:30AM - 7:00PM,8:30AM - 7:00PM,8:30AM - 5:00PM,,False,,,,(718) 975-3985,,529,,MHHC at Melrose,,NY,http://www.mhhc.org/locations/mhhc-at-melrose/,10451
29,,1055 East Tremont Street,Montefiore Medical Center,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,718-842-8040,,568,,Montefiore West Farm Family Practice,,NY,,10460
30,,335 Central Avenue,MIC Women's Health Center,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,(718) 443-9300,,140,,MIC Women's Health Services - Bushwick,,NY,,11221
31,,30 East 33rd Street,Care for the Homeless,,Manhattan,,5th Floor,NEW YORK,False,,,,,,,,,,False,,,,(212) 366-4459,,339,,Care for the Homeless,,NY,,10010
32,,349 East 149th Street,Planned Parenthood-New York City Chapter,,Bronx,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BRONX,True,,1:30 PM - 3:30 PM,CLOSED,9:00 AM - 2:30 PM,CLOSED,"9:00 AM - 11:30 AM, 1:30 PM - 3:30 PM","9:00 AM - 11:30 AM, 1:30 PM - 3:30 PM","9:00 AM - 11:30 AM, 1:30 PM - 3:30 PM",Walk-ins welcome,False,,,,(212) 965-7000,Personal ID,185,,PPNYC Project Street Beat,,NY,,10451
33,,37-63C 83rd Street,Voces Latinas,16 and older,Queens,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,Suite 1B (basement),JACKSON HEIGHTS,True,All,10am-6pm,10am-6pm,10am-6pm,,10am-6pm,10am-6pm,10am-6pm,Walk-ins welcome,False,,,,(718) 593-4528,None,233,"English, Spanish",Voces Latinas,,NY,http://voceslatinas.org/,11372
34,,110 West 97th Street,William F. Ryan Community Health Network,13 and over.,Manhattan,Community Health Center Offering HIV testing and other medical services. Information subject to change. Please Call ahead,,NEW YORK,True,All,8:30 AM - 4:00 PM,8:30 AM - 6:00 PM,9:30 AM - 1:00 PM,CLOSED,8:30 AM - 6:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,Walk-ins welcome,False,,,,212-749-1820,Photo ID is required.,523,"Chinese, French, Haitian Creole, Russian, Spanish",William F. Ryan Community Health Center,,NY,http://www.ryancenter.org/find.htm; http://std-clinics.healthgrove.com/l/4155/William-F-Ryan-Community-Health-Center,10025
35,,525 EAST 68TH STREET,New York Presbyterian Hospital,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 746-5454,,539,,NYP - Weill Cornell Medical Center,,NY,http://nyp.org/facilities/weillcornell.html,10065
36,,350 Grand Street,Community Healthcare Network,,Manhattan,,Room 240,NEW YORK,True,,OPEN DURING SCHOOL HOURS,OPEN DURING SCHOOL HOURS,CLOSED,CLOSED,OPEN DURING SCHOOL HOURS,OPEN DURING SCHOOL HOURS,OPEN DURING SCHOOL HOURS,Walk-ins welcome,True,,,,212-432-8490,"Photo ID, proof of address, proof of income, list of medicines, past health records",57,"English, Spanish, For more than 150 other languages we use our Language Line, a live telephone translation service.",Community Healthcare Network - Seward Park Campus SBHC,Yes,NY,http://www.chnnyc.org/our-locations/seward-park-campus-sbhc,10002
37,,910 E. 172nd St.,Children's Aid Society,Newborns to age 21.,Bronx,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BRONX,True,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,Walk-ins welcome,True,Yes,No,No other insurances accepted,347-767-2200,Photo ID,50,"English, Spanish",Children's Aid Society - Bronx Health Services,Yes,NY,www.childrensaidsociety.org,10460
38,,890 Hunts Point Avenue,Urban Health Plan,13 and over. Parental consent not required.,Bronx,Unable to get in contact with someone to confirm information for 311.  can try again next year.,,BRONX,False,,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,9:00 AM - 1:00 PM,CLOSED,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,8:00 AM - 6:00 PM,Walk-ins welcome,False,,,,(718) 589-2141,"Photo ID and insurance card are required. If uninsured, sliding fee scale is available.",228,English and Spanish,Urban Health Plan Bella Vista Health Center,Yes,NY,http://www.urbanhealthplan.org/content/bella-vista-health-center,10474
39,,2079 Forest Avenue,Beacon Christian Community Health Center,,Staten Island,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,STATEN ISLAND,False,,,,,,,,,,False,,,"Some insurances accepted, copay may be applied",(718) 815-6560,,333,,Beacon Christian Community Health Center,,NY,http://beaconcchc.com/,10303
40,,601 WEST 168TH ST,NY/NJ AIDS Education and Training Center,,Manhattan,,SUITE 46,NEW YORK,False,,,,,,,,,,False,,,,(646) 774-6978,,479,,NY/NJ AIDS Education and Training Center,,NY,,10032
41,,726 Broadway,New York University,,Manhattan,,3rd and 4th Floors,NEW YORK,False,,,,,,,,,Walk-ins welcome,False,,,"Most insurances accepted, copay may be applied",(212) 443-1000,,492,,New York University Student Health Center,Yes,NY,http://www.nyu.edu/life/safety-health-wellness/student-health-center.html,10003
43,,,NYC DOHMH,,Bronx,,,,False,,,,,,,,,,False,,,,,,835,,Gotham Center-Bronx,,,,
45,,470 Clarkson Avenue,SUNY Downstate Medical Center Suny Downstate Medical Center,21 and over.,Brooklyn,,"STAR Program, MSC 1240",BROOKLYN,True,,CLOSED,9:00 AM - 3:00 PM,CLOSED,CLOSED,CLOSED,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,Walk-ins welcome,False,,,,(718) 270-7293,Personal ID is not required but may allow quicker access to services.,214,,SUNY Downstate Medical Center STAR Health Center,,NY,http://www.downstate.edu/hiv/AETC.html,11203
47,,242 Mason Avenue,North Shore LIJ,,Staten Island,,1st Floor,STATEN ISLAND,False,,,,,,,,,,False,,,,(718) 226-6294,,209,,Staten Island University Hospital Teen Risk Assessment Program,,NY,,10305
48,,295 Flatbush Avenue Extension,NYC DOHMH TB Control,,Brooklyn,,4th Floor,BROOKLYN,True,,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,Appointment required,False,,,,(718) 643-6551,,81,,Fort Greene Chest Center Clinic,,NY,,11201
49,,2253 3rd Avenue,"East Harlem Council for Human Services, Boriken Neighborhood Health Center",,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,(212) 289-6650,,352,,"East Harlem Council for Human Services, Boriken Neighborhood Health Center",,NY,,10035
50,,295 Flatbush Avenue Extension,MIC Women's Health Center,,Brooklyn,,3rd Floor,BROOKLYN,True,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Every other Sat: 8:30 AM - 4:00 PM,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Appointment preferred,True,,,,(718) 522-1144,,142,Arabic,MIC Women's Health Services - Fort Greene,,NY,,11201
52,,592 Rockaway Avenue,Brownsville Multi-Service Family Health Center,13 to 21.,Brooklyn,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BROOKLYN,False,All,8:30 AM - 4:30 PM,8:30 AM - 8:00 PM,8:30 AM - 2:30 PM,CLSOED,8:30 AM - 8:00 PM,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,Walk-ins welcome,True,Yes,Yes,"Most insurances accepted, copay may be applied",(718) 345-5000,Photo ID and proff of address. Documentation for payment may be required.,756,"English, Spanish, Haitian Creole",Brownsville Multi-Service Family Health Center - Main - Pediatric,Yes,NY,www.bmsfhc.wix.com/bms-family-health,11212
53,,22 West 27th Street,Harm Reduction Coalition,,Manhattan,,#5,NEW YORK,False,,,,,,,,,,False,,,,(212) 213-6376,,367,,Harm Reduction Coalition,,NY,harmreduction.org,10001
54,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,2601 Ocean Parkway,HHC Coney Island Hospital,,Brooklyn,,,BROOKLYN,True,,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,,True,Yes,Yes,"Some insurances accepted, copay may be applied",(718) 616-3000,,291,,HHC Coney Island Hospital,Yes,NY,http://www.nyc.gov/html/hhc/coneyisland/html/home/home.shtml,11235
55,,561 Court Street.,Narco Freedom,,Brooklyn,,,BROOKLYN,False,,,,,,,,,,False,,,,,,559,,Narco Freedom - Court St.,,NY,,11231
56,,76-11 37th Ave,Queens Pride House,,Queens,,Suite 206,Jackson Heights,False,,,,,,,,,,False,,,,,,418,,Queens Pride House,,NY,,11372
57,,29-76 Northern Boulevard,Fortune Society,,Queens,,Reentry Education Project #225,LONG ISLAND CITY,False,,,,,,,,,,False,,,,347-510-3642,,361,,Fortune Society,,NY,,11101
58,,4377 Bronx Boulevard,All Med Medical & Rehabilitation Centers,,Bronx,,,BRONX,False,,7:30AM - 5:30PM,7:30AM - 5:30PM,8:00AM - 2:00PM,CLOSED,7:30AM - 5:30PM,7:30AM - 5:30PM,7:30AM - 5:30PM,,False,,,,718-325-0700,,465,,All Med Medical & Rehabilitation Centers - Bronx Boulevard,,NY,http://www.allmedhealth.com/,10466
59,,9000 Shore Road,NYU Lutheran Medical Center,13 and over. Parental consent not required.,Brooklyn,,,BROOKLYN,True,,8:30 AM - 5:00 PM,8:30 AM - 7:00 PM,8:30 AM - 5:00 PM,CLOSED,8:30 AM - 7:00 PM,8:30 AM - 5:00 PM,8:30 AM - 7:00 PM,Walk-ins welcome,False,,,,(718) 630-8870,Personal ID is not required but may allow quicker access to services.,130,,Lutheran Medical Center - Shore Road Family Health Center,,NY,,11209
60,,26 Federal Plaza,U.S. Department of Health and Human Services,,Manhattan,,Room 38-100,New York,False,,,,,,,,,,False,,,,,,799,,"Office of the Assistant Secretary for Health, Region II (NY, NJ, PR & USVI) Regional Resource Network Program",,NY,,10278
61,,1477 Townsend Avenue,BronxWorks,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 588-3836,,571,,BronxWorks - Townsend Ave.,,NY,http://www.bronxworks.org/walk-in-offices,10452
62,,1991A Lexington Ave.,New York Harm Reduction Educators,13 and over. Parental consent not required.,Bronx,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,,NEW YORK,True,,2:00 PM - 4:30 PM,9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,CLOSED,9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,9:00 AM - 4:30 PM,Walk-ins welcome,False,,,,212-828-8464,,176,"English, Spanish",New York Harm Reduction Educators,,NY,http://www.nyhre.org/,10035
63,,630 Southern Boulevard,BronxWorks,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 585-4619,,572,,Bronx Works - Avenue St. John,,NY,http://www.bronxworks.org/walk-in-offices,10455
64,,515-513 East Tremont Ave.,Urban Starzz,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 618-7200,,487,,Urban Starzz,,NY,,10457
65,,1 Fordham Plaza,Bronx Community Health Network,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 405-7720,,337,,Bronx Community Health Network - Corporate,,NY,http://www.bchnhealth.org/,10458
67,,368 East 138th Street,Narco Freedom,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,,,562,,Narco Freedom - East 138th St.,,NY,,10451
68,,62-07 Woodside Avenue,AIDS Center of Queens County,,Queens,,,WOODSIDE,False,,,,,,,,,,False,,,,(718) 472-9400,,565,,AIDS Center of Queens County - Woodside,,NY,http://www.acqc.org/,11377
69,,125 Broad Street,ICL,,Manhattan,,,New York,False,,,,,,,,,,False,,,,(212) 385-3030,,811,,ICL,,NY,http://iclinc.net/,10004
70,,13750 Jamaica Avenue,Damian Family Health Centers,,Queens,,,JAMAICA,False,,,,,,,,,,False,,,,(718) 298-5100,,349,,Damian Family Health Centers,,NY,,11435
71,,2640 Pitkin Ave.,Housing Works Housing Works,,Brooklyn,,,BROOKLYN,False,,CLOSED,9:00AM - 5:00PM,,9:00AM - 3:00PM,9:00AM - 9:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,,False,,,,718-277-0386,,375,,Housing Works Community Health Care - East New York Health Center,,NY,,11208
72,,2160 Bronx Park East,Office of Dr. Robert Shargani,,Bronx,,#7D,BRONX,False,,,,,,,,,,False,,,,(718) 918-9358,,485,,Office of Dr. Robert Shargani,,NY,,10451
73,,P.O Box 284,Depressed Black Gay Men (DBGM),,Manhattan,,,New York,False,,,,,,,,,,False,,,,,,840,,Depressed Black Gay Men (DBGM),,New York,http://dbgm.org/,10032
74,,1401 Dr Martin Luther King Jr Blvd,Brightpoint Health,,Bronx,,,,False,,,,,,,,,,False,,,,,,620,,Brightpoint Health - Bronx,,NY,https://brightpointhealth.org,10452
75,,494 Dumont Avenue,START Treatment & Recovery Centers,18 and over.,Brooklyn,,,BROOKLYN,False,,6:30 AM - 3:00 PM,6:30 AM - 3:00 PM,7:15 AM - 11:00 AM,CLOSED,6:30 AM - 3:00 PM,6:30 AM - 3:00 PM,6:30 AM - 3:00 PM,Walk-ins welcome,False,Yes,Yes,"Most insurances accepted, copay may be applied",(718) 385-4000,Government ID is required.,642,,START - East New York,Yes,NY,,11207
77,,114-02 Guy R. Brewer Blvd,HHC South Queens Multi-Service Center,,Queens,,,JAMAICA,False,,,,,,,,,,False,,,,(718) 883 - 6626,,307,,HHC South Queens Multi-Service Center,,NY,,11434
78,,1650 Grand Concourse,Bronx - Lebanon Hospital Center,13 and over. Parental consent not required.,Bronx,Hospital offering HIV testing and other medical services. Information subject to change. Please call ahead.,1st Floor,BRONX,True,,24 hrs,24 hrs,24 hrs PM,24 hrs,24 hrs,24 hrs,24 hrs,Walk-ins welcome,False,Yes,Yes,"Most insurances accepted, copay may be applied",(718) 590-1800 x5850,Official Government ID is not required but may allow quicker access to services. Some form of ID is needed.,27,,Bronx - Lebanon Emergency Department,,NY,http://www.bronxcare.org/,10457
79,,966 Prospect Avenue,ACACIA Network ed for Community Empowerment,13 and over. Parental consent not required.,Bronx,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BRONX,True,All,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,8:00 AM- NOON,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 842-1412,Personal ID is not required but may allow quicker access to services.,227,Spanish,United Bronx Parents - La Casa de Salud,,NY,,10459
80,,(mailing address only) 111 East 14th Street,Women's HIV Collaboration of NY,,Manhattan,,PMB #147,NEW YORK,False,,,,,,,,,,False,,,,(212) 367-1012,,450,,Women's HIV Collaboration of NY,,NY,,10003
81,,3514 Wayne Avenue,Montefiore Medical Center,13 to 24. No parental consent required.,Bronx,c.	Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BRONX,True,All,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,CLOSED,CLOSED,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,Walk-ins welcome,False,,,,(718) 882-0023,None,144,"English, Spanish",Montefiore Adolescent AIDS Program,,NY,www.adolescentaids.org,10467
82,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,760 Broadway,HHC Woodhull Medical and Mental Health Center,,Brooklyn,,,BROOKLYN,True,,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,,True,Yes,Yes,"Some insurances accepted, copay may be applied",(718) 963-8033; 718-963-8000,,238,,HHC Woodhull Medical and Mental Health Center,Yes,NY,http://www.nyc.gov/html/hhc/woodhull/html/home/home.shtml,11206
83,,356 W. 18th Street,Callen Lorde Community Health Center,16 and over. No parental consent requred.,Manhattan,Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.,,NEW YORK,True,All,8:30 AM - 4:30 PM,8:30 AM -8:30 PM,8:30 AM - 3:30 PM,CLOSED,8:30 AM - 8:30 PM,8:30 AM - 8:30 PM,8:30 AM - 8:30 PM,Appointment preferred,True,,,,212-271-7200,Photo ID,143,"English, Spanish",Callen Lorde Community Health Center,Yes,NY,www.callen-lorde.org,10011
84,,208 W 13 St,The Center,,Manhattan,,,New York,False,,,,,,,,,,False,,,,212-620-7310,,789,,"The Lesbian, Gay, Bisexual and Transgender Community Center",,NY,https://gaycenter.org/,10011
85,,114-49 Sutphin Boulevard,Joseph P. Addabbo Family Health Center,13 and over.,Queens,,,JAMAICA,True,All,9am-4pm,9am-4pm,9am-1pm,,9am-4pm,9am-4pm,9am-4pm,Walk-ins welcome,False,,,,(718) 945-7150,Photo ID,379,Spanish,Joseph P. Addabbo Family Health Center,,NY,,11434
86,,215 W. 125th Street,National Black Leadership Commission on AIDS,,Manhattan,,2nd Floor,NEW YORK,False,,,,,,,,,,False,,,,(212) 614-0023,,393,,National Black Leadership Commission on AIDS,,NY,www.nblca.org,10027
87,,123 Linden Blvd,Haitian Centers Council,,Brooklyn,,3rd Floor,BROOKLYN,False,,,,,,,,,,False,,,,(718) 940-2200,,457,,Haitian Centers Council,,NY,,11226
88,,208 W 13 St,Translatina Network,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,917.274.7886,,592,,Translatina Network,,NY,http://www.translatinanetwork.org/,10011
89,,575 Eighth Avenue,ACRIA,,Manhattan,,Suite 502,Manhattan,False,,,,,,,,,,False,,,,(212) 924-3934,,624,,ACRIA,,NY,https://www.acria.org/,10018
90,Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs.,540 E 13th St,HHC Roberto Clemente Health Center/Sylvia Del Villard,,Manhattan,,,NEW YORK,True,,:00 AM - 5:00 PM,9:00 AM - 7:00 PM,CLOSED,CLOSED,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,Appointment required,True,Yes,Yes,"Some insurances accepted, copay may be applied",(212) 387-7400,,304,,HHC Roberto Clemente Health Center/Sylvia Del Villard,Yes,NY,,10009
91,,111 East 210th Street,Montefiore Medical Center,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,718-920-4321,,551,,Montefiore Medical Center,,NY,http://www.montefiore.org/,10467
92,,71 W 23rd St,"National Development and Research Institutes, Inc.",,Manhattan,,8th Floor,New York,False,,,,,,,,,,False,,,,(212) 845-4400,,824,,"National Development and Research Institutes, Inc.",,NY,http://www.ndri.org/,10010
93,,301 West 37th Street,Housing Works Housing Works,,Manhattan,,#3,NEW YORK,False,,,,,,,,,,False,,,,(212) 465-8304,,410,,Positive Health Project,,NY,,10018
94,,27 East 39th Street,Consulate General of Mexico,,Manhattan,,,NEW YORK,False,,,,,,,,,,False,,,,212-217-6400,,589,,Department of Community Affairs,,NY,https://embassy-finder.com/mexico_in_new-york_usa,10016
95,,Fulton Street and Classon Avenue,Harlem United,14 and over. Parental consent not required.,Brooklyn,,,BROOKLYN,True,,CLOSED,CLOSED,CLOSED,CLOSED,10:00 AM - 12:00 PM,10:00 AM - 3:30 PM,CLOSED,,False,,,,(212) 924-3733,Personal ID is not required but may allow quicker access to services.,83,,FROST'D - Mobile Van - Bedstuy - Williamsburg,,NY,,11238
96,,60-02 Queens Boulevard Woodside,The Child Center of NY,,Queens,,,,False,,,,,,,,,,False,,,,718-322-4953,,590,,The Child Center of NY,,NY,http://childcenterny.org/index.php,11377
97,,650 Fulton Street,Brooklyn Plaza Medical Center,All ages. Parental consent not required.,Brooklyn,Community Based Organization offering HIV testing and other medical services. Information subject to change. Please call ahead.,,BROOKLYN,True,All,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,CLOSED,CLOSED,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,Walk-ins welcome,False,Yes,Yes,"Most insurances accepted, copay may be applied",(718) 596-9800 ext. 249 or 288,"For free rapid tests, no documents are required. For lab-based blood tests, Photo ID and insurance card are required.",40,"English, Spanish, Haitian Creole",Brooklyn Plaza Medical Center,Yes,NY,www.brooklynplaza.org,11217
98,,2175 Westchester Avenue,Montefiore Medical Center,,Bronx,,,BRONX,False,,,,,,,,,,False,,,,(718) 829-6770,,146,,Montefiore Castle Hill Family Practice,,NY,,10462
99,,40 Worth Street,Legal Services NYC,,Manhattan,,Suite 606,NEW YORK,False,,,,,,,,,,False,,,,(646) 442-3600,,382,,Legal Services NYC,,NY,,10013
100,,42-09 28th Street,NYC DOHMH HIV/AIDS Prevention and Control,,Queens,,22nd Floor,LONG ISLAND CITY,False,,,,,,,,,,False,,,,,,766,,NYC DOHMH HIV/AIDS Prevention and Control,,NY,http://www.nyc.gov/html/doh/html/living/std-hiv.shtml,11101
