"_2010_census_tract","address","address_2","bbl","bin","borough","city_council_district","community_board","facilityname","latitude","longitude","nta","phone","service_type","zipcode"
"443","374 Stockholm Street, 3rd Floor",,"3032600001","3074262","Brooklyn","37","4","Wyckoff Heights Medical Center","40.704636","-73.917699","Bushwick North","(718)-963-7101","Care Coordination","11237"
"31","400 Broadway",,"1001960001","1002334","Manhattan","1","1","APICHA Community Health Center","40.718702","-74.002464","SoHo-TriBeCa-Civic Center-Little Italy","(646)-884-5377","Care Coordination","10013"
"45101","4234 Vireo Avenue",,"2033950019","2019744","Bronx","11","12","Unique People Services, Inc.","40.89672","-73.864524","Woodlawn-Wakefield","(718)-231-7711","Care Coordination","10470"
"37504","4422 Third Avenue",,"2030640001","2094217","Bronx","15","6","St. Barnabas Hospital","40.853346","-73.891611","East Tremont","(718)-960-9454","Care Coordination","10457"
"808","451 Clarkson Avenue",,"3048290001","3327711","Brooklyn","40","9","HHC Kings County Hospital Center","40.655762","-73.94458","Prospect Lefferts Gardens-Wingate","718 245-2816","Care Coordination","11203"
"62","462 First Avenue",,"1009620100","1086515","Manhattan","4","6","HHC Bellevue Hospital Center","40.739173","-73.976862","Murray Hill-Kips Bay","212-562-3906","Care Coordination","10016"
"212","506 Lenox Avenue",,"1017330001","1053899","Manhattan","9","10","HHC Harlem Hospital Center","40.814358","-73.940659","Central Harlem North-Polo Grounds","212-939-2910","Care Coordination","10037"
,"525 East 68th Street, Box 259",,,,"Manhattan",,,"New York Presbyterian Hospital",,,,"(212)-746-1285","Care Coordination","10065"
"3","56 Bay Street, 4th Floor",,"5000050103","5000035","Staten Island","49","1","Community Health Action Of Staten Island","40.640624","-74.075704","West New Brighton-New Brighton-St. George","(718)-808-1402","Care Coordination","10301"
"11","57 Willoughby Street, 2nd Floor",,"3001470036","3000338","Brooklyn","33","2","Housing Works, Inc.","40.692217","-73.986665","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","(347)-473-7401","Care Coordination","11201"
"924","592 Rockaway Avenue",,"3035600026","3081790","Brooklyn","41","16","Brownsville Community Development Corporation","40.66552","-73.90968","Brownsville","(718)-345-5000","Care Coordination","11212"
"28501","760 Broadway",,"3017230001","3048341","Brooklyn","36","3","HHC Woodhull Medical and Mental Health Center","40.700528","-73.941604","Bushwick South","718-963-5741","Care Coordination","11206"
"77","760 East 160th Street",,"2026560007","2004691","Bronx","17","1","Argus Community, Inc.","40.820438","-73.904737","Melrose South-Mott Haven North","(718)-401-5722","Care Coordination","10456"
"267","79-01 Broadway",,"4015000002","4437132","Queens","25","4","HHC Elmhurst Hospital Center","40.744416","-73.886097","Elmhurst","718-334-4000","Care Coordination","11373"
"1267","82-68 164th Street",,"4068580001","4442431","Queens","24","8","HHC Elmhurst Hospital Center","40.71725","-73.803433","Pomonok-Flushing Heights-Hillcrest","718-883-3000","Care Coordination","11432"
,"Callen-Lorde Community Health Center",,,,"Manhattan",,,"Community Health Project, Inc.",,,,"(212)-271-7147","Care Coordination","10011"
,"One Gustave L. Levy Place",,,,"Manhattan",,,"Beth Israel Medical Center",,,,"(212)-824-7394","Care Coordination","10029"
"171","29-76 Northern Boulevard",,"4002390049","4003410","Queens","26","1","The Fortune Society, Inc.","40.750433","-73.935323","Hunters Point-Sunnyside-West Maspeth","(347)-510-3601","Correctional Health Transitional Services","11101"
"207","100 Park Avenue",,"5010050025","5023730","Staten Island","49","1","Project Hospitality, Inc.","40.638029","-74.131884","Port Richmond","(718)-448-1544","Food and Nutrition","10302"
"145","1000 10th Avenue, Suite 1G-133",,"1010680001","1082718","Manhattan","3","4","St. Luke's - Roosevelt Hospital","40.770297","-73.987689","Lincoln Square","(212)-523-6050","Food and Nutrition","10019"
"44601","161-21 Jamaica Avenue, 6th Floor",,"4097607501","4208875","Queens","24","12","AIDS Center of Queens County, Inc.","40.704249","-73.797921","Jamaica","(718)-896-2500","Food and Nutrition","11432"
"49","166 Avenue of the Americas",,"1005040043","1007816","Manhattan","3","2","God's Love We Deliver, Inc.","40.725619","-74.003976","SoHo-TriBeCa-Civic Center-Little Italy","(212)-294-8194","Food and Nutrition","10013"
"512","1720 Church Avenue, 2nd Floor",,"3050970085","3341487","Brooklyn","40","14","CAMBA, Inc.","40.649339","-73.963307","Flatbush","(718)-287-2600","Food and Nutrition","11226"
"493","213 Johnson Avenue",,"3030630033","3071251","Brooklyn","34","1","La Nueva Esperanza, Inc.","40.706805","-73.941007","Bushwick South","(718)-497-7592","Food and Nutrition","11206"
"200","306 Lenox Avenue, 3rd floor",,"1017230001","1053494","Manhattan","9","10","Harlem United: Community AIDS Center, Inc.","40.808047","-73.945274","Central Harlem South","(212)-803-2850","Food and Nutrition","10027"
"21303","416 West 127th Street",,"1019670013","1059568","Manhattan","7","9","Heritage Health and Housing, Inc.","40.812912","-73.95368","Manhattanville","(212)-866-2600","Food and Nutrition","10027"
"103","446 West 33rd Street, 6th Floor",,"1007299001","1085401","Manhattan","3","4","Gay Men's Health Crisis, Inc.","40.753552","-73.998784","Hudson Yards-Chelsea-Flatiron-Union Square","(212)-367-1248","Food and Nutrition","10001"
"23301","60 East Tremont Avenue",,"2028280020","2007915","Bronx","14","5","BronxWorks, Inc.","40.851176","-73.908192","Mount Hope","(646)-393-4000","Food and Nutrition","10456"
"76","64 West 35th Street, 3rd Floor",,"1008360007","1015868","Manhattan","4","5","AIDS Service Center of Lower Manhattan, Inc.","40.749989","-73.986209","Midtown-Midtown South","(212)-645-0875","Food and Nutrition","10001"
"207","100 Park Avenue",,"5010050025","5023730","Staten Island","49","1","Project Hospitality, Inc.","40.638029","-74.131884","Port Richmond","(718)-448-1544","Harm Reduction Services","10302"
"196","104-106 E. 126th St  #1A",,"1017740067","1054493","Manhattan","9","11","New York Harm Reduction Educators, Inc.","40.805518","-73.938066","East Harlem North","(718)-842-6050","Harm Reduction Services","10035"
,"1400 Pelham Parkway South","Buildging 4 Room 5N7",,,,,,"HHC North Central Bronx Hospital",,,,"718-918-6538","Harm Reduction Services","14067"
"271","1545 Atlantic Avenue",,"3017050001","3048072","Brooklyn","36","3","Interfaith Medical Center","40.677788","-73.937041","Crown Heights North","(718)-613-4001","Harm Reduction Services","11213"
"44601","161-21 Jamaica Avenue, 6th Floor",,"4097607501","4208875","Queens","24","12","AIDS Center of Queens County, Inc.","40.704249","-73.797921","Jamaica","(718)-896-2500","Harm Reduction Services","11432"
"13","2 Washington Street, 4th Floor",,"1000157501","1087080","Manhattan","1","1","Exponents, Inc.","40.705137","-74.015585","Battery Park City-Lower Manhattan","(212)-243-3434","Harm Reduction Services","10004"
"79602","2261 Church Avenue, 3rd Floor",,"3050890031","3116866","Brooklyn","40","14","Bridging Access to Care, Inc.","40.650448","-73.957663","Prospect Lefferts Gardens-Wingate","(347)-505-5114","Harm Reduction Services","11226"
"255","2331 University Avenue",,"2032180035","2095380","Bronx","14","7","Tolentine Zeiser Community Life Center","40.8613","-73.906258","Kingsbridge Heights","(718)-933-6935","Harm Reduction Services","10468"
"5502","26 Bleecker Street",,"1005210037","1008186","Manhattan","1","2","Planned Parenthood of New York City, Inc.","40.725564","-73.993488","West Village","(212)-274-7222","Harm Reduction Services","10012"
"200","306 Lenox Avenue, 3rd Floor",,"1017230001","1053494","Manhattan","9","10","Harlem United: Community AIDS Center, Inc.","40.808047","-73.945274","Central Harlem South","(212)-803-2850","Harm Reduction Services","10027"
"421","3424 Kossuth Ave","Suite 15-A04","2033270200","2017787","Bronx","11","7","HHC North Central Bronx Hospital","40.880462","-73.88164","Norwood","718-519-4963","Harm Reduction Services","10467"
"103","446 West 33rd Street, 6th Floor",,"1007299001","1085401","Manhattan","3","4","Gay Men's Health Crisis, Inc.","40.753552","-73.998784","Hudson Yards-Chelsea-Flatiron-Union Square","(212)-367-1248","Harm Reduction Services","10001"
"11","57 Willoughby Street, 2nd Floor",,"3001470036","3000338","Brooklyn","33","2","Housing Works, Inc.","40.692217","-73.986665","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","(347)-473-7400","Harm Reduction Services","11201"
"23301","60 E. Tremont Avenue",,"2028280020","2007915","Bronx","14","5","BronxWorks, Inc.","40.851176","-73.908192","Mount Hope","(646)-393-4000","Harm Reduction Services","10456"
"76","64 West 35th Street, 3rd Floor",,"1008360007","1015868","Manhattan","4","5","AIDS Service Center of Lower Manhattan, Inc.","40.749989","-73.986209","Midtown-Midtown South","(212)-645-0875","Harm Reduction Services","10001"
"267","79-01 Broadway",,"4015000002","4437132","Queens","25","4","HHC Queens Hospital Center","40.744416","-73.886097","Elmhurst","718-334-3969","Harm Reduction Services","11373"
"1267","82-68 164Th Street","T Building Room 2B-9","4068580001","4442431","Queens","24","8","HHC Queens Hospital Center","40.71725","-73.803433","Pomonok-Flushing Heights-Hillcrest","718-883-4975","Harm Reduction Services","11432"
"44601","89-25 Parsons Blvd",,"4097580001","4208858","Queens","24","12","HHC Queens Hospital Center","40.705471","-73.80147","Jamaica","212-912-2223","Harm Reduction Services","11432"
"246","94-20 Guy R. Brewer Blvd.",,"4101040043","4215630",,"27","12","HHC Queens Hospital Center","40.702532","-73.795578","Jamaica",,"Harm Reduction Services","11452"
,"First Avenue at East 16th Street","2 Dazian",,,"Manhattan",,,"Beth Israel Medical Center",,,,"(212)-420-2520","Harm Reduction Services","10003"
,"Hoe Ave., Westcvhester Ave., W. Farms Road",,,,"Bronx",,,"HHC North Central Bronx Hospital",,,,,"Harm Reduction Services","10459"
,"Perry Ave. Bet E. 205Thnstreet And E 208Th Street",,,,"Bronx",,,"HHC North Central Bronx Hospital",,,,,"Harm Reduction Services","10467"
"44601","161-21 Jamaica Avenue, 6th Floor",,"4097607501","4208875","Queens","24","12","AIDS Center of Queens County, Inc.","40.704249","-73.797921","Jamaica","(718)-896-2500","Housing Placement Services","11432"
"196","1767 Park Ave 4th Floor",,"1017710003","1087850","Manhattan","9","11","Hispanic AIDS Forum, Inc.","40.803389","-73.940231","East Harlem North","(212)-563-4500","Housing Placement Services","10035"
"79602","2261 Church Avenue, 3rd Floor",,"3050890031","3116866","Brooklyn","40","14","Bridging Access to Care, Inc.","40.650448","-73.957663","Prospect Lefferts Gardens-Wingate","(347)-505-5114","Housing Placement Services","11226"
"255","2345 University Avenue",,"2032180035","2118380","Bronx","14","7","Tolentine Zeiser Community Life Center","40.861503","-73.906077","Kingsbridge Heights","(718)-933-6935","Housing Placement Services","10468"
"200","1 West 125th Street, 2nd Floor",,"1017230033","1053504","Manhattan","9","10","Manhattan Legal Services","40.806522","-73.942493","Central Harlem South","(646)-442-3142","Legal Services","10027"
"207","100 Park Avenue",,"5010050025","5023730","Staten Island","49","1","Project Hospitality, Inc.","40.638029","-74.131884","Port Richmond","(718)-448-1544","Legal Services","10302"
"9","105 Court Street",,"3002710023","3002702","Brooklyn","33","2","South Brooklyn Legal Services, Inc.","40.690793","-73.991825","Brooklyn Heights-Cobble Hill","(718)-246-3276","Legal Services","11201"
"44601","161-21 Jamaica Avenue, 6th Floor",,"4097607501","4208875","Queens","24","12","AIDS Center of Queens County, Inc.","40.704249","-73.797921","Jamaica","(718)-896-2500","Legal Services","11432"
"1502","199 Water Street, 6th Floor",,"1000747501","1001162","Manhattan","1","1","The Legal Aid Society","40.70727","-74.004314","Battery Park City-Lower Manhattan","(212)-577-3646","Legal Services","10038"
"21303","429 West 127th Street, 2nd Floor",,"1019670060","1084104","Manhattan","7","9","African Services Committee, Inc.","40.813002","-73.953849","Manhattanville","(212)-222-3882","Legal Services","10027"
"103","446 West 33rd Street, 6th Floor",,"1007299001","1085401","Manhattan","3","4","Gay Men's Health Crisis, Inc.","40.753552","-73.998784","Hudson Yards-Chelsea-Flatiron-Union Square","(212)-367-1248","Legal Services","10001"
"249","493 Nostrand Avenue, 3rd Floor",,"3018490056","3053259","Brooklyn","36","3","The Family Center, Inc.","40.680555","-73.949586","Bedford","(718)-230-1379","Legal Services","11216"
"387","540 East Fordham Road 2nd Floor",,"2030590036","2011812","Bronx","15","6","BOOM!Health","40.859386","-73.887003","Belmont","(718)-295-5605","Legal Services","10458"
"11","57 Willoughby Street, 2nd Floor",,"3001470036","3000338","Brooklyn","33","2","HIV Law Project, Inc.","40.692217","-73.986665","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","(347)-473-7404","Legal Services","11201"
"115","589 Eighth Avenue, 15th Floor",,"1007620042","1013646","Manhattan","3","4","New York Council on Adoptable Children, Inc.","40.755155","-73.991319","Clinton","(212)-475-0222","Legal Services","10018"
"207","100 Park Avenue",,"5010050025","5023730","Staten Island","49","1","Project Hospitality, Inc.","40.638029","-74.131884","Port Richmond","(718)-448-1544","Mental Health Services","10302"
"44601","161-21 Jamaica Avenue, 6th Floor",,"4097607501","4208875","Queens","24","12","AIDS Center of Queens County, Inc.","40.704249","-73.797921","Jamaica","(718)-896-2500","Mental Health Services","11432"
,"177 Fort Washington Avenue, MHB-1HS-200",,,,"Manhattan",,,"New York Presbyterian Hospital",,,,"(212)-305-0404","Mental Health Services","10032"
"36901","1910 Arthur Avenue, 5th Floor",,"2029470014","2009910","Bronx","17","6","Vocational Instruction Project Community Services, Inc.","40.845391","-73.8935","East Tremont","(718)-583-5150","Mental Health Services","10457"
"206","2006 Madison Avenue",,"1017520057","1087856","Manhattan","9","11","The Institute for Family Health","40.807347","-73.939484","Central Harlem North-Polo Grounds","(212)-633-0800","Mental Health Services","10035"
"103","446 West 33rd Street, 6th Floor",,"1007299001","1085401","Manhattan","3","4","Gay Men's Health Crisis, Inc.","40.753552","-73.998784","Hudson Yards-Chelsea-Flatiron-Union Square","(212)-367-1248","Mental Health Services","10001"
"212","506 Lenox Avenue",,"1017330001","1053899","Manhattan","9","10","HHC Harlem Hospital Center","40.814358","-73.940659","Central Harlem North-Polo Grounds","212-939-4027","Mental Health Services","10037"
"11","57 Willoughby Street, 2nd Floor",,"3001470036","3000338","Brooklyn","33","2","Housing Works, Inc.","40.692217","-73.986665","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","(347)-473-7400","Mental Health Services","11201"
"28501","760 Broadway",,"3017230001","3048341","Brooklyn","36","3","HHC Woodhull Medical and Mental Health Center","40.700528","-73.941604","Bushwick South","718-963-5741","Mental Health Services","11206"
"207","100 Park Avenue",,"5010050025","5023730","Staten Island","49","1","Project Hospitality, Inc.","40.638029","-74.131884","Port Richmond","(718)-448-1544","Non-Medical Case Management","10302"
"44601","161-21 Jamaica Avenue, 6th Floor",,"4097607501","4208875","Queens","24","12","AIDS Center of Queens County, Inc.","40.704249","-73.797921","Jamaica","(718)-896-2500","Non-Medical Case Management","11432"
"5502","26 Bleecker Street, 7th Floor",,"1005210037","1008186","Manhattan","1","2","Planned Parenthood of New York City, Inc.","40.725564","-73.993488","West Village","(212)-274-7222","Non-Medical Case Management","10012"
"200","306 Lenox Avenue,  3rd floor",,"1017230001","1053494","Manhattan","9","10","Harlem United: Community AIDS Center, Inc.","40.808047","-73.945274","Central Harlem South","(212)-803-2850","Non-Medical Case Management","10027"
"77","760 East 160th Street",,"2026560007","2004691","Bronx","17","1","Argus Community, Inc.","40.820438","-73.904737","Melrose South-Mott Haven North","(718)-401-5733","Non-Medical Case Management","10456"
"387","1204 Broadway",,"3016130019","3399422","Brooklyn","41","3","After Hours Project","40.692107","-73.926657","Stuyvesant Heights","(718)-249-0755","Supportive Counseling Services","11221"
"44601","161-21 Jamaica Avenue, 6th Floor",,"4097607501","4208875","Queens","24","12","AIDS Center of Queens County, Inc.","40.704249","-73.797921","Jamaica","(718)-896-2500","Supportive Counseling Services","11432"
"21303","429 West 127th Street",,"1019670060","1084104","Manhattan","7","9","African Services Committee, Inc.","40.813002","-73.953849","Manhattanville","(212)-222-3882","Supportive Counseling Services","10027"
"196","104-106 E. 126th St  #1A",,"1017740067","1054493","Manhattan","9","11","New York Harm Reduction Educators, Inc.","40.805518","-73.938066","East Harlem North","(718)-842-6050","Supportive Counseling Services","10035"
"822","123 Linden Blvd, 3rd Floor",,"3050840084","3116661","Brooklyn","40","17","Haitian Centers Council, Inc.","40.652415","-73.954227","Prospect Lefferts Gardens-Wingate","(718)-940-2200","Supportive Counseling Services","11226"
"403","1420 Bushwick Avenue",,"3034440022","3080067","Brooklyn","37","4","Family Services Network of New York","40.684318","-73.909056","Bushwick South","(718)-455-6010","Supportive Counseling Services","11207"
"512","1720 Church Avenue, 2nd Floor",,"3050970085","3341487","Brooklyn","40","14","CAMBA, Inc.","40.649339","-73.963307","Flatbush","(718)-287-2600","Supportive Counseling Services","11226"
"493","213 Johnson Avenue",,"3030630033","3071251","Brooklyn","34","1","La Nueva Esperanza, Inc.","40.706805","-73.941007","Bushwick South","(718)-497-7592","Supportive Counseling Services","11206"
"200","306 Lenox Avenue,  3rd floor",,"1017230001","1053494","Manhattan","9","10","Harlem United: Community AIDS Center, Inc.","40.808047","-73.945274","Central Harlem South","(212)-803-2850","Supportive Counseling Services","10027"
"103","446 West 33rd Street, 6th Floor",,"1007299001","1085401","Manhattan","3","4","Gay Men's Health Crisis, Inc.","40.753552","-73.998784","Hudson Yards-Chelsea-Flatiron-Union Square","(212)-367-1248","Supportive Counseling Services","10001"
"249","493 Nostrand Avenue, 3rd Floor",,"3018490056","3053259","Brooklyn","36","3","The Family Center, Inc.","40.680555","-73.949586","Bedford","(718)-230-1379","Supportive Counseling Services","11216"
"387","540 East Fordham Road",,"2030590036","2011812","Bronx","15","6","BOOM!Health","40.859386","-73.887003","Belmont","(718)-295-5605","Supportive Counseling Services","10458"
"76","64 West 35th Street, 3rd Floor",,"1008360007","1015868","Manhattan","4","5","AIDS Service Center of Lower Manhattan, Inc.","40.749989","-73.986209","Midtown-Midtown South","(212)-645-0875","Supportive Counseling Services","10001"
"87","886 Westchester Avenue",,"2026967501","2118990","Bronx","17","2","St. Ann's Corner of Harm Reduction","40.820774","-73.899454","Longwood","(718)-585-5544","Supportive Counseling Services","10459"
"58","24 West 25th Street, 9th Floor",,"1008260057","1080686","Manhattan","3","5","Latino Commission on AIDS, Inc.","40.743383","-73.990004","Hudson Yards-Chelsea-Flatiron-Union Square","(212)-675-3288","The Positive Life Workshop","10010"
"249","493 Nostrand Avenue, 3rd Floor",,"3018490056","3053259","Brooklyn","36","3","The Family Center, Inc.","40.680555","-73.949586","Bedford","(718)-230-1379","The Positive Life Workshop","11216"
"76","64 West 35th Street, 3rd Floor",,"1008360007","1015868","Manhattan","4","5","AIDS Service Center of Lower Manhattan, Inc.","40.749989","-73.986209","Midtown-Midtown South","(212)-645-0875","The Positive Life Workshop","10001"
"207","100 Park Avenue",,"5010050025","5023730","Staten Island","49","1","Project Hospitality, Inc.","40.638029","-74.131884","Port Richmond","(718)-448-1544","Transitional & Short-term Housing Services","10302"
"387","1204 Broadway",,"3016130019","3399422","Brooklyn","41","3","After Hours Project","40.692107","-73.926657","Stuyvesant Heights","(718)-249-0755","Transitional & Short-term Housing Services","11221"
"9","125 Broad Street, 3rd Floor",,"1000057501","1000006","Manhattan","1","1","Institute for Community Living, Inc.","40.702112","-74.011249","Battery Park City-Lower Manhattan","(212)-385-3030","Transitional & Short-term Housing Services","10006"
"512","1720 Church Avenue, 2nd Floor",,"3050970085","3341487","Brooklyn","40","14","CAMBA, Inc.","40.649339","-73.963307","Flatbush","(718)-287-2600","Transitional & Short-term Housing Services","11226"
"200","306 Lenox Avenue,  3rd floor",,"1017230001","1053494","Manhattan","9","10","Harlem United: Community AIDS Center, Inc.","40.808047","-73.945274","Central Harlem South","(212)-803-2850","Transitional & Short-term Housing Services","10027"
"103","446 West 33rd Street, 6th Floor",,"1007299001","1085401","Manhattan","3","4","Gay Men's Health Crisis, Inc.","40.753552","-73.998784","Hudson Yards-Chelsea-Flatiron-Union Square","(212)-367-1248","Transitional & Short-term Housing Services","10001"
"11","57 Willoughby Street",,"3001470036","3000338","Brooklyn","33","2","Housing Works, Inc.","40.692217","-73.986665","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","(347)-473-7400","Transitional & Short-term Housing Services","11201"
"76","64 West 35th Street, 3rd Floor",,"1008360007","1015868","Manhattan","4","5","AIDS Service Center of Lower Manhattan, Inc.","40.749989","-73.986209","Midtown-Midtown South","(212)-645-0875","Transitional & Short-term Housing Services","10001"
"512","1720 Church Avenue, 2nd Floor",,"3050970085","3341487","Brooklyn","40","14","CAMBA, Inc.","40.649339","-73.963307","Flatbush","(718)-287-2600","Transitional Care Coordination for Homeless and Unstably Housed","11226"
"231","300 East 175th Street, 6th Floor",,"2028910039","2112731","Bronx","15","5","Promesa","40.84663","-73.904558","Mount Hope","(347)-649-3036","Transitional Care Coordination for Homeless and Unstably Housed","10457"
"95","305 Seventh Avenue, 10th Floor",,"1008037502","1015060","Manhattan","3","5","Services for the Underserved, Inc.","40.746817","-73.993655","Midtown-Midtown South","(917)-408-1600","Transitional Care Coordination for Homeless and Unstably Housed","10001"
"103","446 West 33rd Street, 6th Floor",,"1007299001","1085401","Manhattan","3","4","Gay Men's Health Crisis, Inc.","40.753552","-73.998784","Hudson Yards-Chelsea-Flatiron-Union Square","(212)-367-1248","Transitional Care Coordination for Homeless and Unstably Housed","10001"
"149","1276 Fulton Avenue",,"2026120007","2004246","Bronx","16","3","BronxCare Health System","40.831721","-73.903756","Morrisania-Melrose","(718)-901-8600","Status Neutral Linkage and Navigation in Clinical Settings","10456"
,"Callen-Lorde Community Health Center","356 West 18th Street",,,"Manhattan",,,"Community Health Project, Inc.",,,,"(212)-271-7147","Status Neutral Linkage and Navigation in Clinical Settings","10011"
"56","60 Madison Avenue, 5th Floor",,"1008560058","1016881","Manhattan","2","5","Community Healthcare Network, Inc.","40.7433","-73.986225","Hudson Yards-Chelsea-Flatiron-Union Square","(212)-545-2414","Status Neutral Linkage and Navigation in Clinical Settings","10010"
"1502","NYC Health and Hospitals Corporation","199 Water Street, 31st Floor","1000747501","1001162","Manhattan","1","1","HHC Bellevue Hospital Center","40.70727","-74.004314","Battery Park City-Lower Manhatta","(646)-458-2080","Status Neutral Linkage and Navigation in Clinical Settings","10038"
"1502","NYC Health and Hospitals Corporation","199 Water Street, 31st Floor","1000747502","1001163","Manhattan","1","1","HHC Elmhurst Hospital Center","40.70727","-74.004314","Battery Park City-Lower Manhatta","(646)-458-2080","Status Neutral Linkage and Navigation in Clinical Settings","10038"
"1502","NYC Health and Hospitals Corporation","199 Water Street, 31st Floor","1000747503","1001164","Manhattan","1","1","HHC Jacobi Medical Center","40.70727","-74.004314","Battery Park City-Lower Manhatta","(646)-458-2080","Status Neutral Linkage and Navigation in Clinical Settings","10038"
"1502","NYC Health and Hospitals Corporation","199 Water Street, 31st Floor","1000747504","1001165","Manhattan","1","1","HHC Kings County Hospital Center","40.70727","-74.004314","Battery Park City-Lower Manhatta","(646)-458-2080","Status Neutral Linkage and Navigation in Clinical Settings","10038"
"1502","NYC Health and Hospitals Corporation","199 Water Street, 31st Floor","1000747505","1001166","Manhattan","1","1","HHC Lincoln Medical & Mental Health Center","40.70727","-74.004314","Battery Park City-Lower Manhatta","(646)-458-2080","Status Neutral Linkage and Navigation in Clinical Settings","10038"
"91","275 Seventh Avenue, 12th Floor",,"1008010001","1015000","Manhattan","3","4","Mount Sinai Hospital","40.745743","-73.994435","Hudson Yards-Chelsea-Flatiron-Union Square","(212)-604-1770","Status Neutral Linkage and Navigation in Clinical Settings","10001"
"37504","4422 Third Avenue",,"2030640001","2094217","Bronx","15","6","St. Barnabas Hospital","40.853346","-73.891611","East Tremont","(718)-960-9454","Status Neutral Linkage and Navigation in Clinical Settings","10457"
"251","600 West 169th Street, Apt #31",,"1021380102","1063383","Manhattan","10","12","The New York and Presbyterian Hospital","40.841843","-73.939741","Washington Heights South","(212)-746-4326","Status Neutral Linkage and Navigation in Clinical Settings","10032"
"3","56 Bay Street, 4th Floor",,"5000050103","5000035","Staten Island","49","1","Community Health Action Of Staten Island, Inc.","40.640624","-74.075704","West New Brighton-New Brighton-St. George","(718)-808-1402","Targeted HIV Testing Among Priority Populations","10301"
"57","2 Astor Place, 3rd Floor",,"1005450026","1080092","Manhattan","2","2","Hetrick-Martin Institute, Inc.","40.730038","-73.992632","West Village","(212)-674-2600","Targeted HIV Testing Among Priority Populations","10003"
"91","275 Seventh Avenue, 12th Floor",,"1008010001","1015000","Manhattan","3","4","Mount Sinai Hospital","40.745743","-73.994435","Hudson Yards-Chelsea-Flatiron-Union Square","(212)-604-1770","Targeted HIV Testing Among Priority Populations","10001"
"196","104-106 E. 126th St","Suite 3-C","1017740067","1054493","Manhattan","9","11","New York Harm Reduction Educators, Inc.","40.805518","-73.938066","East Harlem North","(718)-842-6050","Targeted HIV Testing Among Priority Populations","10035"
"5502","26 Bleecker Street, 7th Floor",,"1005210037","1008186","Manhattan","1","2","Planned Parenthood of New York City, Inc.","40.725564","-73.993488","West Village","(212)-274-7222","Targeted HIV Testing Among Priority Populations","10012"
"181","110 West 97th Street",,"1018517501","1079308","Manhattan","7","7","William F. Ryan Community Health Center, Inc.","40.79381","-73.967655","Upper West Side","(212)-316-7923","Targeted HIV Testing Among Priority Populations","10025"
"44601","161-21 Jamaica Avenue, 6th Floor",,"4097607501","4208875","Quueens","24","12","AIDS Center of Queens County, Inc.","40.704249","-73.797921","Jamaica","(718)-896-2500","Targeted HIV Testing Among Priority Populations (MAI)","11432"
"103","446 West 33rd Street","6th Floor","1007299001","1085401","Manhattan","3","4","Gay Men's Health Crisis, Inc.","40.753552","-73.998784","Hudson Yards-Chelsea-Flatiron-Union Square","(212)-367-1248","Targeted HIV Testing Among Priority Populations (MAI)","10001"
"814","3807 Church Avenue",,"3048750038","3394916","Brooklyn","41","17","Haitian Centers Council, Inc.","40.651188","-73.941712","East Flatbush-Farragut","(718)-940-2200","Targeted HIV Testing Among Priority Populations (MAI)","11203"
